tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
he8	-1	3	1	stomach	NN	L+H*	m @ k	0	H-L%	4	0.760054819	0.717458762	0.72793827	0.709253056	0.807156229
he8	-1	3	1	","	","	null	null	null	H-L%	4	0.758953796	0.716043387	0.725957465	0.708323981	0.806408539
he8	-1	3	2	ever	RB	null	E	1	H-L%	4	0.759798572	0.717591877	0.726335506	0.70955655	0.806913264
he8	-1	3	2	ever	RB	null	v r=	0	H-L%	4	0.77685851	0.731703182	0.741611726	0.726022121	0.823226906
he8	-1	3	2	ranking	VBG	L+H*	r { N	1	H-L%	4	0.757268635	0.713896132	0.721510294	0.706369465	0.803858445
he8	-1	3	2	ranking	VBG	L+H*	k I N	0	H-L%	4	0.761874185	0.7125195	0.723411735	0.710856945	0.808441288
he8	-1	3	2	Himself	PRP	null	h I m	0	H-L%	4	0.780637834	0.724548308	0.739083628	0.728763644	0.8260472
he8	-1	3	2	Himself	PRP	null	s E l f	1	H-L%	4	0.784759376	0.724741583	0.740987504	0.732275584	0.829488025
he8	-1	3	2	with	IN	null	w I D	1	H-L%	4	0.783000201	0.717557243	0.737351694	0.730992713	0.827460914
he8	-1	3	2	princes	NNS	L+H*	p r I n	1	H-L%	4	0.800804504	0.733267857	0.753508114	0.747304915	0.845227531
he8	-1	3	2	princes	NNS	L+H*	s @ z	0	H-L%	4	0.771991538	0.710155923	0.727398538	0.719378726	0.817828305
he8	-1	3	2	","	","	null	null	null	H-L%	4	0.780520666	0.718856873	0.73675652	0.727672686	0.826551197
he8	-1	3	3	one	CD	null	w V n	1	H-L%	4	0.765361954	0.704955346	0.721871048	0.711899644	0.813186504
he8	-1	3	3	that	IN	null	D { t	1	H-L%	4	0.768770329	0.702464182	0.723668858	0.715405971	0.818241679
he8	-1	3	3	","	","	null	null	null	H-L%	4	0.768791606	0.703782666	0.725196256	0.716359596	0.817373082
he8	-1	3	4	by	IN	null	b AI	1	H-L%	4	0.758261066	0.693188002	0.714813652	0.706137655	0.807648871
he8	-1	3	4	suggestion	NN	L+H*	s @	0	H-L%	4	0.732263781	0.668422064	0.689040872	0.679998886	0.783181449
he8	-1	3	4	suggestion	NN	L+H*	g dZ E s	1	H-L%	4	0.732424531	0.667130886	0.688600099	0.678943302	0.784373353
he8	-1	3	4	suggestion	NN	L+H*	tS @ n	0	H-L%	4	0.733067851	0.666302179	0.688670829	0.678185197	0.786197238
he8	-1	3	4	","	","	null	null	null	H-L%	4	0.725086581	0.657932618	0.680353137	0.66994656	0.778924157
he8	-1	3	5	Tied	NNP	L+H*	t AI d	1	H-L%	4	0.717061747	0.652678172	0.673205725	0.662106753	0.771698467
he8	-1	3	5	all	PDT	null	O l	1	H-L%	4	0.688756327	0.629518279	0.646567596	0.634410446	0.74436566
he8	-1	3	5	the	DT	null	D @	0	H-L%	4	0.68355857	0.628145927	0.642011068	0.628219446	0.739520596
he8	-1	3	5	kingdom	NN	L+H*	k I N	1	H-L%	4	0.66843537	0.616117204	0.628047968	0.613732157	0.723911433
he8	-1	3	5	kingdom	NN	L+H*	d @ m	0	H-L%	4	0.678309851	0.623823117	0.637083806	0.623426812	0.733353341
he8	-1	3	5	:	:	null	null	null	H-L%	4	0.675892748	0.620849591	0.634076071	0.620587262	0.730833052
he8	-1	3	6	simony	NN	L+H*	s I	1	H-L%	4	0.671526596	0.611857096	0.627883642	0.616835799	0.726794578
he8	-1	3	6	simony	NN	L+H*	m @U	0	H-L%	4	0.687857189	0.627209037	0.643192145	0.632346066	0.743076382
he8	-1	3	6	simony	NN	L+H*	n i	0	H-L%	4	0.687169428	0.626252044	0.642028555	0.63079374	0.743092511
he8	-1	3	6	was	VBD	L+H*	w A z	1	H-L%	4	0.666455852	0.610954206	0.623209595	0.610169648	0.722092323
he8	-1	3	6	fair	JJ	L+H*	f E r	1	H-L%	4	0.677088335	0.622648403	0.634510009	0.620568	0.731793346
he8	-1	3	6	play	NN	L+H*	p l EI	1	H-L%	4	0.658517586	0.60639103	0.616609785	0.602166296	0.713506277
he8	-1	3	6	;	:	null	null	null	H-L%	4	0.667187514	0.612843513	0.624734503	0.610839938	0.721451386
he8	-1	3	7	His	PRP$	null	h I z	1	H-L%	4	0.686785309	0.631678879	0.643873663	0.629882896	0.741018469
he8	-1	3	7	own	JJ	L+H*	@U n	1	H-L%	4	0.686094372	0.630909612	0.643377012	0.629124295	0.740233782
he8	-1	3	7	opinion	NN	L+H*	@	0	H-L%	4	0.682999782	0.623499713	0.639220557	0.626859661	0.737487559
he8	-1	3	7	opinion	NN	L+H*	p I n	1	H-L%	4	0.700722075	0.63569394	0.65536796	0.644290732	0.755537014
he8	-1	3	7	opinion	NN	L+H*	j @ n	0	H-L%	4	0.693196773	0.626970387	0.647248532	0.636060189	0.749196838
he8	-1	3	7	was	VBD	L+H*	w A z	1	H-L%	4	0.696977405	0.63010124	0.650895794	0.639010022	0.753069199
he8	-1	3	7	his	PRP$	null	h I z	1	H-L%	4	0.678766378	0.614374548	0.633752999	0.620911545	0.73561235
he8	-1	3	7	law	NN	L+H*	l O	1	H-L%	4	0.700689066	0.634543608	0.654948292	0.641531799	0.757474
he8	-1	3	7	:	:	null	null	null	H-L%	4	0.699375135	0.633316954	0.653692523	0.640039644	0.755969356
he8	-1	3	8	i	FW	null	AI	1	H-L%	4	0.697871498	0.631746475	0.652719544	0.638862838	0.754475913
he8	-1	3	8	the	DT	null	D @	0	H-L%	4	0.691610173	0.626024791	0.647029073	0.633159837	0.748464223
he8	-1	3	8	presence	NN	L+H*	p r E	1	H-L%	4	0.685241433	0.620258368	0.641065955	0.627345599	0.742187243
he8	-1	3	8	presence	NN	L+H*	z @ n s	0	H-L%	4	0.682899334	0.613629239	0.637550591	0.625694634	0.740349664
he8	-1	3	8	He	PRP	null	h i	1	H-L%	4	0.692276208	0.619903656	0.645855322	0.634951553	0.75030209
he8	-1	3	8	would	MD	null	w U d	1	H-L%	4	0.682540752	0.613957684	0.638268736	0.625979744	0.739541674
he8	-1	3	8	say	VB	L+H*	s EI	1	H-L%	4	0.685833659	0.614005728	0.64024047	0.629299542	0.743317524
he8	-1	3	8	untruths	NNS	L+H*	@ n	0	H-L%	4	0.690298932	0.619522867	0.644748246	0.633174651	0.747941009
he8	-1	3	8	untruths	NNS	L+H*	t r u T s	1	H-L%	4	0.683021228	0.616311899	0.639380884	0.626658949	0.740199163
he8	-1	3	8	;	:	null	null	null	H-L%	4	0.673152389	0.610855979	0.631678325	0.617860496	0.729886893
he8	-1	3	9	and	CC	null	{ n d	1	H-L%	4	0.676898386	0.611162923	0.634045314	0.621604972	0.733945755
he8	-1	3	9	be	VB	L+H*	b i	1	H-L%	4	0.699786398	0.62825591	0.65483619	0.643983134	0.756839028
he8	-1	3	9	ever	RB	null	E	1	H-L%	4	0.696887063	0.626620335	0.65277424	0.642496248	0.754076157
he8	-1	3	9	ever	RB	null	v r=	0	H-L%	4	0.687660123	0.62110201	0.645090714	0.633841677	0.74419153
he8	-1	3	9	double	JJ	L+H*	d V	1	H-L%	4	0.69570304	0.625455747	0.65127649	0.64114051	0.752390057
he8	-1	3	9	double	JJ	L+H*	b @ l	0	H-L%	4	0.718873005	0.645359805	0.673513837	0.663206283	0.775198134
he8	-1	3	9	Both	DT	null	b @U T	1	H-L%	4	0.707015756	0.635636258	0.662294731	0.651025588	0.763979791
he8	-1	3	9	in	IN	null	I n	1	H-L%	4	0.705917049	0.634795392	0.661423929	0.650337831	0.762864374
he8	-1	3	9	his	PRP$	null	h I z	1	H-L%	4	0.707435332	0.635888465	0.662392182	0.651369896	0.764733484
he8	-1	3	9	words	NNS	L+H*	w r= d z	1	H-L%	4	0.706662441	0.63499051	0.66107948	0.650107089	0.763853858
he8	-1	3	9	and	CC	null	{ n d	1	H-L%	4	0.70605159	0.634356751	0.660218531	0.649337321	0.763025807
he8	-1	3	9	meaning	NN	L+H*	m i	1	H-L%	4	0.70554737	0.633764957	0.659482334	0.648580706	0.762308036
he8	-1	3	9	meaning	NN	L+H*	n I N	0	H-L%	4	0.692824534	0.61859265	0.645816385	0.636426699	0.750318757
he8	-1	3	9	:	:	null	null	null	H-L%	4	0.718913842	0.638044998	0.669237954	0.661374859	0.776053766
he8	-1	3	10	he	PRP	null	h i	1	H-L%	4	0.715944117	0.635863045	0.666467129	0.658942481	0.772807287
he8	-1	3	10	was	VBD	L+H*	w A z	1	H-L%	4	0.714483465	0.633980983	0.664594245	0.657321354	0.771437723
