tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
1h4	-1	1	1	So	RB	null	s @U	1	H-L%	4	0	0	0	0	0
1h4	-1	1	1	shaken	VBN	L+H*	S EI	1	H-L%	4	0	0	0	0	0
1h4	-1	1	1	shaken	VBN	L+H*	k @ n	0	H-L%	4	0	0	0	0	0
1h4	-1	1	1	as	IN	null	{ z	1	H-L%	4	0	0	0	0	0
1h4	-1	1	1	we	PRP	null	w i	1	H-L%	4	0	0	0	0	0
1h4	-1	1	1	are	VBP	null	A r	1	H-L%	4	0	0	0	0	0
1h4	-1	1	1	","	","	null	null	null	H-L%	4	0	0	0	0	0
1h4	-1	1	2	so	RB	null	s @U	1	H-L%	4	0.866290802	0.79706451	0.82449462	0.813388933	0.909924725
1h4	-1	1	2	wan	JJ	L+H*	w A n	1	H-L%	4	0.844840725	0.777779424	0.803198895	0.79178577	0.888658519
1h4	-1	1	2	with	IN	null	w I D	1	H-L%	4	0.850762186	0.782140364	0.80768902	0.796142349	0.894087155
1h4	-1	1	2	care	NN	L+H*	k E r	1	H-L%	4	0.882400715	0.805880887	0.835563341	0.825575431	0.924425529
1h4	-1	1	2	","	","	null	null	null	H-L%	4	0.867839796	0.795146648	0.822269798	0.81137917	0.909185397
1h4	-1	1	3	Find	VB	L+H*	f AI n d	1	H-L%	4	0.835114329	0.769793915	0.792048738	0.779656561	0.876201396
1h4	-1	1	3	we	PRP	null	w i	1	H-L%	4	0.829173889	0.766789673	0.786908906	0.77311776	0.86909694
1h4	-1	1	3	a	DT	null	@	0	H-L%	4	0.846992688	0.783353037	0.803525984	0.78946167	0.8857341
1h4	-1	1	3	time	NN	L+H*	t AI m	1	H-L%	4	0.839734057	0.779820826	0.798227152	0.782056792	0.877775872
1h4	-1	1	3	for	IN	null	f O r	1	H-L%	4	0.824366117	0.761255121	0.782025306	0.766895051	0.863050842
1h4	-1	1	3	frighted	JJ	L+H*	f r AI	1	H-L%	4	0.771640951	0.717339374	0.735743569	0.722934114	0.80186417
1h4	-1	1	3	frighted	JJ	L+H*	t I d	0	H-L%	4	0.718811619	0.673341711	0.68957346	0.678807839	0.740732447
1h4	-1	1	3	peace	NN	L+H*	p i s	1	H-L%	4	0.686199751	0.65167608	0.663530651	0.65301334	0.698925418
1h4	-1	1	3	to	TO	null	t u	1	H-L%	4	0.646524245	0.62011303	0.629028563	0.62068086	0.651890561
1h4	-1	1	3	pant	NN	L+H*	p { n t	1	H-L%	4	0.581736058	0.569172854	0.572061745	0.564287908	0.58074805
1h4	-1	1	3	","	","	null	null	null	H-L%	4	0.535543372	0.533164535	0.532126619	0.525352218	0.527668725
1h4	-1	1	4	And	CC	null	{ n d	1	L-L%	5	0.49619187	0.500361083	0.497151458	0.492614495	0.482034771
1h4	-1	1	4	breathe	VB	L+H*	b r i D	1	L-L%	5	0.464112468	0.474169834	0.469151457	0.466240842	0.443560951
1h4	-1	1	4	short-winded	JJ	L+H*	S O r t	1	L-L%	5	0.433507616	0.449090004	0.442276745	0.440672694	0.406789841
1h4	-1	1	4	short-winded	JJ	L+H*	w I n	1	L-L%	5	0.418287425	0.437214626	0.42987569	0.429910256	0.384380024
1h4	-1	1	4	short-winded	JJ	L+H*	d I d	0	L-L%	5	0.394296316	0.415465767	0.40796127	0.410218313	0.354942046
1h4	-1	1	4	accents	NNS	L+H*	{ k	0	L-L%	5	0.363497985	0.39154023	0.381280787	0.383399614	0.318804758
1h4	-1	1	4	accents	NNS	L+H*	s E n t s	1	L-L%	5	0.323752294	0.356723252	0.344108889	0.346658363	0.275761309
1h4	-1	1	4	of	IN	null	V v	1	L-L%	5	0.312148191	0.351149957	0.335913024	0.338079465	0.257831073
1h4	-1	1	4	new	JJ	L+H*	n u	1	L-L%	5	0.313953826	0.353043945	0.337780181	0.339641394	0.259548417
1h4	-1	1	4	broils	NNS	L+H*	b r OI l z	1	L-L%	5	0.301243544	0.341049455	0.324610392	0.326121456	0.248331262
1h4	-1	1	4	To	TO	null	t u	1	L-L%	5	0.30033871	0.339766855	0.323452219	0.325133278	0.247434509
1h4	-1	1	4	be	VB	L+H*	b i	1	L-L%	5	0.295233256	0.332645111	0.317022534	0.319310907	0.243215001
1h4	-1	1	4	commenced	VBN	L+H*	k @	0	L-L%	5	0.315109174	0.348924812	0.335538782	0.339365428	0.261107472
1h4	-1	1	4	commenced	VBN	L+H*	m E n s t	1	L-L%	5	0.30799491	0.340694997	0.328077004	0.332378812	0.254543281
1h4	-1	1	4	in	IN	null	I n	1	L-L%	5	0.301202129	0.332879948	0.321032751	0.325618719	0.248350978
