tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
2h6	-1	1	1	As	IN	null	{ z	1	H-L%	4	0	0	0	0	0
2h6	-1	1	1	by	IN	null	b AI	1	H-L%	4	0	0	0	0	0
2h6	-1	1	1	your	PRP$	null	j O r	1	H-L%	4	0	0	0	0	0
2h6	-1	1	1	high	JJ	L+H*	h AI	1	H-L%	4	0	0	0	0	0
2h6	-1	1	1	imperial	JJ	L+H*	I m	0	H-L%	4	0	0	0	0	0
2h6	-1	1	1	imperial	JJ	L+H*	p I	1	H-L%	4	0	0	0	0	0
2h6	-1	1	1	imperial	JJ	L+H*	r i	0	H-L%	4	0	0	0	0	0
2h6	-1	1	1	imperial	JJ	L+H*	@ l	0	H-L%	4	0.811347243	0.767689196	0.782608374	0.760144179	0.856436745
2h6	-1	1	1	majesty	NN	L+H*	m {	1	H-L%	4	0.804670004	0.764384916	0.777379526	0.753708044	0.849298955
2h6	-1	1	1	majesty	NN	L+H*	dZ @ s	0	H-L%	4	0.803724052	0.763662887	0.776456863	0.752936443	0.848106379
2h6	-1	1	1	majesty	NN	L+H*	t i	0	H-L%	4	0.803141652	0.763285424	0.775892918	0.752527076	0.847292271
2h6	-1	1	1	I	PRP	null	AI	1	H-L%	4	0.78937789	0.751104288	0.762288609	0.73820148	0.834011297
2h6	-1	1	1	had	VBD	L+H*	h { d	1	H-L%	4	0.813337372	0.77190198	0.785165011	0.761108914	0.857378473
2h6	-1	1	1	in	IN	null	I n	1	H-L%	4	0.82449199	0.779022559	0.794400113	0.771494532	0.86869118
2h6	-1	1	1	charge	NN	L+H*	tS A r dZ	1	H-L%	4	0.84278086	0.794954876	0.812437032	0.790040557	0.885494415
2h6	-1	1	1	at	IN	null	{ t	1	H-L%	4	0.848601518	0.795013215	0.816546189	0.796204277	0.891710385
2h6	-1	1	1	my	PRP$	null	m AI	1	H-L%	4	0.85619977	0.799466407	0.822197614	0.803608755	0.899430615
2h6	-1	1	1	depart	NN	L+H*	d I	0	H-L%	4	0.876524874	0.817140067	0.84127048	0.823393801	0.919207924
2h6	-1	1	1	depart	NN	L+H*	p A r t	1	H-L%	4	0.878063874	0.818718341	0.842269344	0.824687935	0.920994371
2h6	-1	1	1	for	IN	null	f O r	1	H-L%	4	0.853440916	0.801114353	0.819596133	0.800797191	0.896662086
2h6	-1	1	1	France	NNP	L+H*	f r { n s	1	H-L%	4	0.842746749	0.792839884	0.808720968	0.78960538	0.887110433
2h6	-1	1	1	","	","	null	null	null	H-L%	4	0.839114911	0.789704349	0.804780881	0.786856814	0.88385003
2h6	-1	1	2	As	IN	null	{ z	1	H-L%	4	0.84305252	0.790509628	0.806782481	0.791425197	0.888798356
2h6	-1	1	2	procurator	NN	L+H*	p r @U	1	H-L%	4	0.83606639	0.786820047	0.800367302	0.784535349	0.881359698
2h6	-1	1	2	procurator	NN	L+H*	k j r=	0	H-L%	4	0.813260611	0.769282552	0.77846288	0.761168016	0.858280654
2h6	-1	1	2	procurator	NN	L+H*	r @	0	H-L%	4	0.812918337	0.768280884	0.77708312	0.760290504	0.857747984
2h6	-1	1	2	procurator	NN	L+H*	t r=	0	H-L%	4	0.794123603	0.746952617	0.756881311	0.742797238	0.839734605
2h6	-1	1	2	to	TO	null	t u	1	H-L%	4	0.788241784	0.741114278	0.750598139	0.737522065	0.833608222
2h6	-1	1	2	your	PRP$	null	j O r	1	H-L%	4	0.785832079	0.73788793	0.74747274	0.734496807	0.831350518
2h6	-1	1	2	excellence	NN	L+H*	E k	1	H-L%	4	0.776703681	0.733632208	0.739797193	0.725192888	0.82115599
