	            1h4	            1h6	            2h6	            3h6	            he8
            1h4	3967.00000	4065.00000	204.00000	5759.00000	21757.00000
            1h6	2990.00000	5641.00000	247.00000	5342.00000	17309.00000
            2h6	3742.00000	5124.00000	284.00000	6707.00000	20885.00000
            3h6	3757.00000	4068.00000	265.00000	7515.00000	19381.00000
            he8	3009.00000	3100.00000	245.00000	4851.00000	23618.00000
